Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sadowski, Caitlin; Lewis, Chris; Lin, Zhongpeng; Zhu, Xiaoyan; Whitehead Jr, E James; ",An empirical analysis of the FixCache algorithm,Proceedings of the 8th Working Conference on Mining Software Repositories,,,219-222,2011,ACM
"Böhme, Marcel; Roychoudhury, Abhik; ",Corebench: Studying complexity of regression errors,Proceedings of the 2014 International Symposium on Software Testing and Analysis,,,105-115,2014,ACM
"Silva, Luciana Lourdes; Valente, Marco Tulio; Maia, Marcelo de A; ",Assessing modularity using co-change clusters,Proceedings of the 13th international conference on Modularity,,,49-60,2014,ACM
"Zhang, Jie; Wang, Xiaoyin; Hao, Dan; Xie, Bing; Zhang, Lu; Mei, Hong; ",A survey on bug-report analysis,Science China Information Sciences,58,2,1-24,2015,Springer
"Rastkar, Sarah; Murphy, Gail C; ",On what basis to recommend: Changesets or interactions?,2009 6th IEEE International Working Conference on Mining Software Repositories,,,155-158,2009,IEEE
"刘英博; 王建民; ",面向缺陷分析的软件库挖掘方法综述,计算机科学,34,9,1-4,2007,
"Eyolfson, Jon; Tan, Lin; Lam, Patrick; ",Correlations between bugginess and time-based commit characteristics,Empirical Software Engineering,19,4,1009-1039,2014,Springer
"Pirklbauer, Guenter; ",Empirical evaluation of strategies to detect logical change dependencies,International Conference on Current Trends in Theory and Practice of Computer Science,,,651-662,2010,Springer
"Hu, Wei; Wong, Kenny; ",Using citation influence to predict software defects,Proceedings of the 10th Working Conference on Mining Software Repositories,,,419-428,2013,IEEE Press
"Dallmeier, Valentin; Zimmermann, Thomas; ",Automatic extraction of bug localization benchmarks from history,Proc. Int’l Conf. on Automated Software Eng,,,433-436,2007,Citeseer
"Kononenko, Oleksii; Baysal, Olga; Guerrouj, Latifa; Cao, Yaxin; Godfrey, Michael W; ",Investigating code review quality: Do people and participation matter?,"Software Maintenance and Evolution (ICSME), 2015 IEEE International Conference on",,,111-120,2015,IEEE
"Jureczko, Marian; Madeyski, Lech; ",A review of process metrics in defect prediction studies,Metody Informatyki Stosowanej,5,,133-145,2011,
"Shihab, Emad; ",Pragmatic prioritization of software quality assurance efforts,2011 33rd International Conference on Software Engineering (ICSE),,,1106-1109,2011,IEEE
"Thomas, STEPHEN; ",Mining unstructured software repositories using ir models,,,,,2012,Canadian theses
"Meng, Xiaozhu; Miller, Barton P; Williams, William R; Bernat, Andrew R; ",Mining Software Repositories for Accurate Authorship.,ICSM,,,250-259,2013,
"Siy, Harvey; Chundi, Parvathi; Rosenkrantz, Daniel J; Subramaniam, Mahadevan; ",A segmentation‐based approach for temporal analysis of software version repositories,Journal of Software Maintenance and Evolution: Research and Practice,20,3,199-222,2008,Wiley Online Library
"Tarvo, Alexander; Zimmermann, Thomas; Czerwonka, Jacek; ",An integration resolution algorithm for mining multiple branches in version control systems,"Software Maintenance (ICSM), 2011 27th IEEE International Conference on",,,402-411,2011,IEEE
"Neuhaus, Stephan; Plattner, Bernhard; ","Software security economics: Theory, in practice",The Economics of Information Security and Privacy,,,75-92,2013,Springer
"Oliva, Gustavo Ansaldi; Santana, FW; Gerosa, MA; de Souza, CR; ",Preprocessing change-sets to improve logical dependencies identification,Proceedings of the 6th International Workshop on Software Quality and Maintainability,,,,2012,
"Nadi, Sarah; Holt, Ric; Mankovskii, Serge; ",Does the past say it all? Using history to predict change sets in a CMDB,"Software Maintenance and Reengineering (CSMR), 2010 14th European Conference on",,,97-106,2010,IEEE
"Do, Thanh; Harter, Tyler; Liu, Yingchao; Gunawi, Haryadi S; Arpaci-Dusseau, Andrea C; Arpaci-Dusseau, Remzi H; ",HARDFS: hardening HDFS with selective and lightweight versioning,Presented as part of the 11th USENIX Conference on File and Storage Technologies (FAST 13),,,105-118,2013,
"Yu, Liguo; Ramaswamy, S; Nail, A; ",Using bug reports as a software quality measure,Proceedings of the 16th International Conference on Information Quality (ICIQ),,,277-286,2011,
"Ferzund, Javed; Ahsan, Syed Nadeem; Wotawa, Franz; ",Software change classification using hunk metrics,"Software Maintenance, 2009. ICSM 2009. IEEE International Conference on",,,471-474,2009,IEEE
"Yu, Yue; Wang, Huaimin; Filkov, Vladimir; Devanbu, Premkumar; Vasilescu, Bogdan; ",Wait for it: Determinants of pull request evaluation latency on GitHub,2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,,,367-371,2015,IEEE
"Thung, Ferdian; Lo, David; Jiang, Lingxiao; ",Automatic recovery of root causes from bug-fixing changes,2013 20th Working Conference on Reverse Engineering (WCRE),,,92-101,2013,IEEE
"Kamei, Yasutaka; Sato, Hiroki; Monden, Akito; Kawaguchi, Shinji; Uwano, Hidetake; Nagura, Masataka; Matsumoto, Ken-Ichi; Ubayashi, Naoyasu; ",An empirical study of fault prediction with code clone metrics,"Software Measurement, 2011 Joint Conference of the 21st Int'l Workshop on and 6th Int'l Conference on Software Process and Product Measurement (IWSM-MENSURA)",,,55-61,2011,IEEE
"Zimmermann, Thomas; Zeller, Andreas; Weissgerber, Peter; Diehl, Stephan; ",Mining version histories to guide software changes,IEEE Transactions on Software Engineering,31,6,429-445,2005,IEEE
"Nagappan, Nachiappan; Ball, Thomas; Zeller, Andreas; ",Mining metrics to predict component failures,Proceedings of the 28th international conference on Software engineering,,,452-461,2006,ACM
"Zimmermann, Thomas; Premraj, Rahul; Zeller, Andreas; ",Predicting defects for eclipse,"Predictor Models in Software Engineering, 2007. PROMISE'07: ICSE Workshops 2007. International Workshop on",,,9-9,2007,IEEE
"Zeller, Andreas; ",Why programs fail: a guide to systematic debugging,,,,,2009,Elsevier
"Kagdi, Huzefa; Collard, Michael L; Maletic, Jonathan I; ",A survey and taxonomy of approaches for mining software repositories in the context of software evolution,Journal of software maintenance and evolution: Research and practice,19,2,77-131,2007,Wiley Online Library
"Fluri, Beat; Wuersch, Michael; PInzger, Martin; Gall, Harald; ",Change distilling: Tree differencing for fine-grained source code change extraction,IEEE Transactions on Software Engineering,33,11,725-743,2007,IEEE
"Kim, Sunghun; Zimmermann, Thomas; Whitehead Jr, E James; Zeller, Andreas; ",Predicting faults from cached history,Proceedings of the 29th international conference on Software Engineering,,,489-498,2007,IEEE Computer Society
"Eaddy, Marc; Zimmermann, Thomas; Sherwood, Kaitlin D; Garg, Vibhav; Murphy, Gail C; Nagappan, Nachiappan; Aho, Alfred V; ",Do crosscutting concerns cause defects?,IEEE Transactions on Software Engineering,34,4,497-515,2008,IEEE
"Bird, Christian; Bachmann, Adrian; Aune, Eirik; Duffy, John; Bernstein, Abraham; Filkov, Vladimir; Devanbu, Premkumar; ",Fair and balanced?: bias in bug-fix datasets,Proceedings of the the 7th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering,,,121-130,2009,ACM
"Neuhaus, Stephan; Zimmermann, Thomas; Holler, Christian; Zeller, Andreas; ",Predicting vulnerable software components,Proceedings of the 14th ACM conference on Computer and communications security,,,529-540,2007,ACM
"Antoniol, Giuliano; Ayari, Kamel; Di Penta, Massimiliano; Khomh, Foutse; Guéhéneuc, Yann-Gaël; ",Is it a bug or an enhancement?: a text-based approach to classify change requests,Proceedings of the 2008 conference of the center for advanced studies on collaborative research: meeting of minds,,,23,2008,ACM
"Krinke, Jens; ",A study of consistent and inconsistent changes to code clones,14th working conference on reverse engineering (WCRE 2007),,,170-178,2007,IEEE
"Schröter, Adrian; Zimmermann, Thomas; Zeller, Andreas; ",Predicting component failures at design time,Proceedings of the 2006 ACM/IEEE international symposium on Empirical software engineering,,,18-27,2006,ACM
"Kim, Sunghun; Zimmermann, Thomas; Pan, Kai; James Jr, E; ",Automatic identification of bug-introducing changes,21st IEEE/ACM International Conference on Automated Software Engineering (ASE'06),,,81-90,2006,IEEE
"Guo, Philip J; Zimmermann, Thomas; Nagappan, Nachiappan; Murphy, Brendan; ",Characterizing and predicting which bugs get fixed: an empirical study of Microsoft Windows,2010 ACM/IEEE 32nd International Conference on Software Engineering,1,,495-504,2010,IEEE
"Kim, Sunghun; Pan, Kai; Whitehead Jr, EE; ",Memories of bug fixes,Proceedings of the 14th ACM SIGSOFT international symposium on Foundations of software engineering,,,35-45,2006,ACM
"Fluri, Beat; Gall, Harald C; ",Classifying change types for qualifying change couplings,14th IEEE International Conference on Program Comprehension (ICPC'06),,,35-45,2006,IEEE
"Bird, Christian; Nagappan, Nachiappan; Gall, Harald; Murphy, Brendan; Devanbu, Premkumar; ",Putting it all together: Using socio-technical networks to predict failures,2009 20th International Symposium on Software Reliability Engineering,,,109-119,2009,IEEE
"Wu, Rongxin; Zhang, Hongyu; Kim, Sunghun; Cheung, Shing-Chi; ",Relink: recovering links between bugs and changes,Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering,,,15-25,2011,ACM
"Dallmeier, Valentin; Zimmermann, Thomas; ",Extraction of bug localization benchmarks from history,Proceedings of the twenty-second IEEE/ACM international conference on Automated software engineering,,,433-436,2007,ACM
"Kim, Sunghun; Ernst, Michael D; ",Which warnings should I fix first?,Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering,,,45-54,2007,ACM
"Bachmann, Adrian; Bird, Christian; Rahman, Foyzur; Devanbu, Premkumar; Bernstein, Abraham; ",The missing links: bugs and bug-fix commits,Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,,,97-106,2010,ACM
"Herzig, Kim; Just, Sascha; Zeller, Andreas; ","It's not a bug, it's a feature: how misclassification impacts bug prediction",Proceedings of the 2013 International Conference on Software Engineering,,,392-401,2013,IEEE Press
"Yin, Zuoning; Yuan, Ding; Zhou, Yuanyuan; Pasupathy, Shankar; Bairavasundaram, Lakshmi; ",How do fixes become bugs?,Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering,,,26-36,2011,ACM
"Nagappan, Nachiappan; Zeller, Andreas; Zimmermann, Thomas; Herzig, Kim; Murphy, Brendan; ",Change bursts as defect predictors,2010 IEEE 21st International Symposium on Software Reliability Engineering,,,309-318,2010,IEEE
"Kim, Sunghun; Zhang, Hongyu; Wu, Rongxin; Gong, Liang; ",Dealing with noise in defect prediction,2011 33rd International Conference on Software Engineering (ICSE),,,481-490,2011,IEEE
"Rahman, Foyzur; Bird, Christian; Devanbu, Premkumar; ",Clones: What is that smell?,Empirical Software Engineering,17,4-5,503-530,2012,Springer
"Krinke, Jens; ",Is cloned code more stable than non-cloned code?,"Source Code Analysis and Manipulation, 2008 Eighth IEEE International Working Conference on",,,57-66,2008,IEEE
"Pan, Kai; Kim, Sunghun; Whitehead Jr, E James; ",Toward an understanding of bug fix patterns,Empirical Software Engineering,14,3,286-315,2009,Springer
"Kim, Miryung; Notkin, David; ",Program element matching for multi-version program analyses,Proceedings of the 2006 international workshop on Mining software repositories,,,58-64,2006,ACM
"Kim, Sunghun; Whitehead Jr, E James; ",How long did it take to fix bugs?,Proceedings of the 2006 international workshop on Mining software repositories,,,173-174,2006,ACM
"Kim, Sunghun; Pan, Kai; Whitehead, E James; ",When functions change their names: Automatic detection of origin relationships,12th Working Conference on Reverse Engineering (WCRE'05),,,10 pp.-152,2005,IEEE
"Kamei, Yasutaka; Matsumoto, Shinsuke; Monden, Akito; Matsumoto, Ken-ichi; Adams, Bram; Hassan, Ahmed E; ",Revisiting common bug prediction findings using effort-aware models,"Software Maintenance (ICSM), 2010 IEEE International Conference on",,,1-10,2010,IEEE
"Rahman, Foyzur; Devanbu, Premkumar; ","Ownership, experience and defects: a fine-grained study of authorship",Proceedings of the 33rd International Conference on Software Engineering,,,491-500,2011,ACM
"Schröter, Adrian; Zimmermann, Thomas; Premraj, Rahul; Zeller, Andreas; ",If your bug database could talk,Proceedings of the 5th international symposium on empirical software engineering,2,,18-20,2006,Citeseer
"Kagdi, Huzefa; Maletic, Jonathan I; Sharif, Bonita; ",Mining software repositories for traceability links,15th IEEE International Conference on Program Comprehension (ICPC'07),,,145-154,2007,IEEE
"Shihab, Emad; Ihara, Akinori; Kamei, Yasutaka; Ibrahim, Walid M; Ohira, Masao; Adams, Bram; Hassan, Ahmed E; Matsumoto, Ken-ichi; ",Predicting re-opened bugs: A case study on the eclipse project,2010 17th Working Conference on Reverse Engineering,,,249-258,2010,IEEE
"Giger, Emanuel; Pinzger, Martin; Gall, Harald C; ",Comparing fine-grained source code changes and code churn for bug prediction,Proceedings of the 8th Working Conference on Mining Software Repositories,,,83-92,2011,ACM
"Lee, Taek; Nam, Jaechang; Han, DongGyun; Kim, Sunghun; In, Hoh Peter; ",Micro interaction metrics for defect prediction,Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering,,,311-321,2011,ACM
"Chowdhury, Istehad; Zulkernine, Mohammad; ","Using complexity, coupling, and cohesion metrics as early indicators of vulnerabilities",Journal of Systems Architecture,57,3,294-313,2011,Elsevier
"Zaman, Shahed; Adams, Bram; Hassan, Ahmed E; ",Security versus performance bugs: a case study on firefox,Proceedings of the 8th working conference on mining software repositories,,,93-102,2011,ACM
"Kim, Miryung; Cai, Dongxiang; Kim, Sunghun; ",An empirical investigation into the role of API-level refactorings during software evolution,Proceedings of the 33rd International Conference on Software Engineering,,,151-160,2011,ACM
"Bettenburg, Nicolas; Hassan, Ahmed E; ",Studying the impact of social structures on software quality,"Program Comprehension (ICPC), 2010 IEEE 18th International Conference on",,,124-133,2010,IEEE
"Śliwerski, Jacek; Zimmermann, Thomas; Zeller, Andreas; ",Hatari: raising risk awareness,ACM SIGSOFT Software Engineering Notes,30,5,107-110,2005,ACM
"Negara, Stas; Vakilian, Mohsen; Chen, Nicholas; Johnson, Ralph E; Dig, Danny; ",Is it dangerous to use version control histories to study source code evolution?,European Conference on Object-Oriented Programming,,,79-103,2012,Springer
"Kamei, Yasutaka; Shihab, Emad; Adams, Bram; Hassan, Ahmed E; Mockus, Audris; Sinha, Anand; Ubayashi, Naoyasu; ",A large-scale empirical study of just-in-time quality assurance,IEEE Transactions on Software Engineering,39,6,757-773,2013,IEEE
"Schroter, Adrian; Schröter, Adrian; Bettenburg, Nicolas; Premraj, Rahul; ",Do stack traces help developers fix bugs?,2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010),,,118-121,2010,IEEE
"Shihab, Emad; Jiang, Zhen Ming; Ibrahim, Walid M; Adams, Bram; Hassan, Ahmed E; ",Understanding the impact of code and process metrics on post-release defects: a case study on the eclipse project,Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,,,4,2010,ACM
"Shihab, Emad; Ihara, Akinori; Kamei, Yasutaka; Ibrahim, Walid M; Ohira, Masao; Adams, Bram; Hassan, Ahmed E; Matsumoto, Ken-ichi; ",Studying re-opened bugs in open source software,Empirical Software Engineering,18,5,1005-1042,2013,Springer
"English, Michael; Exton, Chris; Rigon, Irene; Cleary, Brendan; ",Fault detection and prediction in an open-source software project,Proceedings of the 5th International Conference on Predictor Models in Software Engineering,,,17,2009,ACM
"Tian, Yuan; Lawall, Julia; Lo, David; ",Identifying linux bug fixing patches,2012 34th International Conference on Software Engineering (ICSE),,,386-396,2012,IEEE
"Ayari, Kamel; Meshkinfam, Peyman; Antoniol, Giuliano; Di Penta, Massimiliano; ",Threats on building models from cvs and bugzilla repositories: the mozilla case study,Proceedings of the 2007 conference of the center for advanced studies on Collaborative research,,,215-228,2007,IBM Corp.
"Pan, Kai; Kim, Sunghun; Whitehead Jr, E James; ",Bug classification using program slicing metrics,2006 Sixth IEEE International Workshop on Source Code Analysis and Manipulation,,,31-42,2006,IEEE
"Bachmann, Adrian; Bernstein, Abraham; ",Software process data quality and characteristics: a historical view on open and closed source projects,Proceedings of the joint international and annual ERCIM workshops on Principles of software evolution (IWPSE) and software evolution (Evol) workshops,,,119-128,2009,ACM
"Eyolfson, Jon; Tan, Lin; Lam, Patrick; ",Do time of day and developer experience affect commit bugginess?,Proceedings of the 8th Working Conference on Mining Software Repositories,,,153-162,2011,ACM
"D'Ambros, Marco; Lanza, Michele; Pinzger, Martin; ",""" A Bug's Life"" Visualizing a Bug Database",2007 4th IEEE International Workshop on Visualizing Software for Understanding and Analysis,,,113-120,2007,IEEE
"Zimmermann, Thomas; Kim, Sunghun; Zeller, Andreas; Whitehead Jr, E James; ",Mining version archives for co-changed lines,Proceedings of the 2006 international workshop on Mining software repositories,,,72-75,2006,ACM
"Shivaji, Shivkumar; Whitehead, E James; Akella, Ram; Kim, Sunghun; ",Reducing features to improve code change-based bug prediction,IEEE Transactions on Software Engineering,39,4,552-569,2013,IEEE
"Boogerd, Cathal; Moonen, Leon; ",Assessing the value of coding standards: An empirical study,"Software Maintenance, 2008. ICSM 2008. IEEE International Conference on",,,277-286,2008,IEEE
"Shivaji, Shivkumar; Whitehead, Jr E James; Akella, Ram; Kim, Sunghun; ",Reducing features to improve bug prediction,Proceedings of the 2009 IEEE/ACM International Conference on Automated Software Engineering,,,600-604,2009,IEEE Computer Society
"Boogerd, Cathal; Moonen, Leon; ",Evaluating the relation between coding standard violations and faultswithin and across software versions,2009 6th IEEE International Working Conference on Mining Software Repositories,,,41-50,2009,IEEE
"Abreu, Roberto; Premraj, Rahul; ",How developer communication frequency relates to bug introducing changes,Proceedings of the joint international and annual ERCIM workshops on Principles of software evolution (IWPSE) and software evolution (Evol) workshops,,,153-158,2009,ACM
"Posnett, Daryl; D'Souza, Raissa; Devanbu, Premkumar; Filkov, Vladimir; ",Dual ecological measures of focus in software development,2013 35th International Conference on Software Engineering (ICSE),,,452-461,2013,IEEE
"Aversano, Lerina; Cerulo, Luigi; Del Grosso, Concettina; ",Learning from bug-introducing changes to prevent fault prone code,Ninth international workshop on Principles of software evolution: in conjunction with the 6th ESEC/FSE joint meeting,,,19-26,2007,ACM
"Bavota, Gabriele; De Carluccio, Bernardino; De Lucia, Andrea; Di Penta, Massimiliano; Oliveto, Rocco; Strollo, Orazio; ",When does a refactoring induce bugs? an empirical study,"Source Code Analysis and Manipulation (SCAM), 2012 IEEE 12th International Working Conference on",,,104-113,2012,IEEE
"Illes-Seifert, Timea; Paech, Barbara; ",Exploring the relationship of a file’s history and its fault-proneness: An empirical method and its application to open source programs,Information and Software Technology,52,5,539-558,2010,Elsevier
"Mizuno, Osamu; Kikuno, Tohru; ",Training on errors experiment to detect fault-prone software modules by spam filter,Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering,,,405-414,2007,ACM
"Hata, Hideaki; Mizuno, Osamu; Kikuno, Tohru; ",Bug prediction based on fine-grained module histories,Proceedings of the 34th International Conference on Software Engineering,,,200-210,2012,IEEE Press
"Jiang, Tian; Tan, Lin; Kim, Sunghun; ",Personalized defect prediction,"Automated Software Engineering (ASE), 2013 IEEE/ACM 28th International Conference on",,,279-289,2013,IEEE
"Rahman, Foyzur; Posnett, Daryl; Hindle, Abram; Barr, Earl; Devanbu, Premkumar; ",BugCache for inspections: hit or miss?,Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering,,,322-331,2011,ACM
"Voinea, Lucian; Telea, Alexandru; ",Visual data mining and analysis of software repositories,Computers & Graphics,31,3,410-428,2007,Elsevier
"Shihab, Emad; Hassan, Ahmed E; Adams, Bram; Jiang, Zhen Ming; ",An industrial study on the risk of software changes,Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering,,,62,2012,ACM
"Mizuno, Osamu; Ikami, Shiro; Nakaichi, Shuya; Kikuno, Tohru; ",Spam filter based approach for finding fault-prone software modules,Proceedings of the Fourth International Workshop on Mining Software Repositories,,,4,2007,IEEE Computer Society
"Khomh, Foutse; Chan, Brian; Zou, Ying; Hassan, Ahmed E; ",An entropy evaluation approach for triaging field crashes: A case study of mozilla firefox,2011 18th Working Conference on Reverse Engineering,,,261-270,2011,IEEE
"Bijlsma, Dennis; Ferreira, Miguel Alexandre; Luijten, Bart; Visser, Joost; ",Faster issue resolution with higher technical quality of software,Software quality journal,20,2,265-285,2012,Springer
"Nguyen, Anh Tuan; Nguyen, Tung Thanh; Nguyen, Hoan Anh; Nguyen, Tien N; ",Multi-layered approach for recovering links between bug reports and fixes,Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering,,,63,2012,ACM
"Kim, Sunghun; Zimmermann, Thomas; Kim, Miryung; Hassan, Ahmed; Mockus, Audris; Girba, Tudor; Pinzger, Martin; Whitehead Jr, E James; Zeller, Andreas; ",TA-RE: An exchange language for mining software repositories,Proceedings of the 2006 international workshop on Mining software repositories,,,22-25,2006,ACM
"Zhang, Feng; Mockus, Audris; Keivanloo, Iman; Zou, Ying; ",Towards building a universal defect prediction model,Proceedings of the 11th Working Conference on Mining Software Repositories,,,182-191,2014,ACM
"Matsumoto, Shinsuke; Kamei, Yasutaka; Monden, Akito; Matsumoto, Ken-ichi; Nakamura, Masahide; ",An analysis of developer metrics for fault prediction,Proceedings of the 6th International Conference on Predictive Models in Software Engineering,,,18,2010,ACM
"Canfora, Gerardo; Cerulo, Luigi; Di Penta, Massimiliano; ",Ldiff: An enhanced line differencing tool,Proceedings of the 31st International Conference on Software Engineering,,,595-598,2009,IEEE Computer Society
"Kim, Sunghun; Pan, Kai; Whitehead Jr, E James; ",Micro pattern evolution,Proceedings of the 2006 international workshop on Mining software repositories,,,40-46,2006,ACM
"Holschuh, Tilman; Pauser, Markus; Herzig, Kim; Zimmermann, Thomas; Premraj, Rahul; Zeller, Andreas; ",Predicting defects in SAP Java code: An experience report,"Software Engineering-Companion Volume, 2009. ICSE-Companion 2009. 31st International Conference on",,,172-181,2009,IEEE
"Shihab, Emad; Kamei, Yasutaka; Bhattacharya, Pamela; ",Mining challenge 2012: The android platform,Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,,,112-115,2012,IEEE Press
"Palix, Nicolas; Lawall, Julia; Muller, Gilles; ",Tracking code patterns over multiple software versions with Herodotos,Proceedings of the 9th International Conference on Aspect-Oriented Software Development,,,169-180,2010,ACM
"Luijten, Bart; Visser, Joost; ",Faster defect resolution with higher technical quality of software,,,,,2010,"Delft University of Technology, Software Engineering Research Group"
"Giger, Emanuel; D'Ambros, Marco; Pinzger, Martin; Gall, Harald C; ",Method-level bug prediction,Proceedings of the ACM-IEEE international symposium on Empirical software engineering and measurement,,,171-180,2012,ACM
"Bissyande, Tegawende F; Thung, Ferdian; Wang, Shaowei; Lo, David; Jiang, Lingxiao; Reveillere, Laurent; ",Empirical evaluation of bug linking,"Software Maintenance and Reengineering (CSMR), 2013 17th European Conference on",,,89-98,2013,IEEE
"Bhattacharya, Pamela; Neamtiu, Iulian; ",Assessing programming language impact on development and maintenance: A study on C and C++,2011 33rd International Conference on Software Engineering (ICSE),,,171-180,2011,IEEE
"Bachmann, Adrian; Bernstein, Abraham; ",When process data quality affects the number of bugs: Correlations in software engineering datasets,2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010),,,62-71,2010,IEEE
"Anvik, John; ",Assisting bug report triage through recommendation,,,,,2007,University of British Columbia
"Massacci, Fabio; Nguyen, Viet Hung; ",Which is the right source for vulnerability studies?: An empirical analysis on mozilla firefox,Proceedings of the 6th International Workshop on Security Measurements and Metrics,,,4,2010,ACM
"Gray, David; Bowes, David; Davey, Neil; Sun, Y; Christianson, Bruce; ",Reflections on the NASA MDP data sets,IET software,6,6,549-558,2012,IET
"Voinea, Lucian; Lukkien, Johan; Telea, Alexandru; ",Visual assessment of software evolution,Science of Computer Programming,65,3,222-248,2007,Elsevier
"Bird, Christian; Bachmann, Adrian; Rahman, Foyzur; Bernstein, Abraham; ",Linkster: enabling efficient manual inspection and annotation of mined data,Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,,,369-370,2010,ACM
"Williams, Chadd; Spacco, Jaime; ",Szz revisited: verifying when changes induce fixes,Proceedings of the 2008 workshop on Defects in large software systems,,,32-36,2008,ACM
"Ihara, Akinori; Ohira, Masao; Matsumoto, Ken-ichi; ",An analysis method for improving a bug modification process in open source software development,Proceedings of the joint international and annual ERCIM workshops on Principles of software evolution (IWPSE) and software evolution (Evol) workshops,,,135-144,2009,ACM
"Rahman, Foyzur; Khatri, Sameer; Barr, Earl T; Devanbu, Premkumar; ",Comparing static bug finders and statistical prediction,Proceedings of the 36th International Conference on Software Engineering,,,424-434,2014,ACM
"Hall, Tracy; Zhang, Min; Bowes, David; Sun, Yi; ",Some code smells have a significant but small effect on faults,ACM Transactions on Software Engineering and Methodology (TOSEM),23,4,33,2014,ACM
"Dumitras, Tudor; Narasimhan, Priya; Tilevich, Eli; ",To upgrade or not to upgrade: impact of online upgrades across multiple administrative domains,ACM Sigplan Notices,45,10,865-876,2010,ACM
"Shao, Danhua; Khurshid, Sarfraz; Perry, Dewayne E; ",Evaluation of semantic interference detection in parallel changes: an exploratory experiment,2007 IEEE International Conference on Software Maintenance,,,74-83,2007,IEEE
"Hemmati, Hadi; Nadi, Sarah; Baysal, Olga; Kononenko, Oleksii; Wang, Wei; Holmes, Reid; Godfrey, Michael W; ",The msr cookbook: Mining a decade of research,"Mining Software Repositories (MSR), 2013 10th IEEE Working Conference on",,,343-352,2013,IEEE
"Corley, Christopher S; Kraft, Nicholas A; Etzkorn, Letha H; Lukins, Stacy K; ",Recovering traceability links between source code and fixed bugs via patch analysis,Proceedings of the 6th International Workshop on Traceability in Emerging Forms of Software Engineering,,,31-37,2011,ACM
"Nadi, Sarah; Dietrich, Christian; Tartler, Reinhard; Holt, Richard C; Lohmann, Daniel; ",Linux variability anomalies: What causes them and how do they get fixed?,Proceedings of the 10th Working Conference on Mining Software Repositories,,,111-120,2013,IEEE Press
"Halkidi, Maria; Spinellis, Diomidis; Tsatsaronis, George; Vazirgiannis, Michalis; ",Data mining in software engineering,Intelligent Data Analysis,15,3,413-441,2011,IOS Press
"Kim, Sunghun; Whitehead Jr, E James; Bevan, Jennifer; ",Properties of Signature Change Patterns.,ICSM,6,,4-13,2006,
"Bird, Christian; Nagappan, Nachiappan; ",Who? where? what?: examining distributed development in two large open source projects,Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,,,237-246,2012,IEEE Press
"Mizuno, Osamu; Kikuno, Tohru; ",Prediction of fault-prone software modules using a generic text discriminator,IEICE transactions on information and systems,91,4,888-896,2008,"The Institute of Electronics, Information and Communication Engineers"
"Tarvo, Alexander; ",Mining software history to improve software maintenance quality: A case study,IEEE Software,26,1,34,2009,IEEE Computer Society
"Würsch, Michael; Ghezzi, Giacomo; Hert, Matthias; Reif, Gerald; Gall, Harald C; ",SEON: a pyramid of ontologies for software evolution and its applications,Computing,94,11,857-885,2012,Springer
"Tan, Lin; Liu, Chen; Li, Zhenmin; Wang, Xuanhui; Zhou, Yuanyuan; Zhai, Chengxiang; ",Bug characteristics in open source software,Empirical Software Engineering,19,6,1665-1705,2014,Springer
"Bird, Christian; ",Sociotechnical coordination and collaboration in open source software,"Software Maintenance (ICSM), 2011 27th IEEE International Conference on",,,568-573,2011,IEEE
"Walker, Robert J; Holmes, Reid; Hedgeland, Ian; Kapur, Puneet; Smith, Andrew; ",A lightweight approach to technical risk estimation via probabilistic impact analysis,Proceedings of the 2006 international workshop on Mining software repositories,,,98-104,2006,ACM
"Madeyski, Lech; Jureczko, Marian; ",Which process metrics can significantly improve defect prediction models? An empirical study,Software Quality Journal,23,3,393-422,2015,Springer
"Bachmann, Adrian; Bernstein, Abraham; ","Data retrieval, processing and linking for software process data analysis","University of Zurich, Technical Report",,,,2009,
"Ghezzi, Giacomo; Gall, Harald C; ",SOFAS: a lightweight architecture for software analysis as a service,"Software Architecture (WICSA), 2011 9th Working IEEE/IFIP Conference on",,,93-102,2011,IEEE
